N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
93,두산밥캣,"32,500",300,-0.91%,500,"32,581","100,249",22.12,"212,032",17.59,7.05,
94,GS건설,"39,850","1,100",-2.69%,"5,000","32,193","80,785",26.35,"1,055,816",10.43,11.79,
95,호텔신라,"81,400",100,+0.12%,"5,000","31,948","39,248",18.46,"274,730",-24.70,20.16,
96,에스원,"83,400","1,100",+1.34%,500,"31,691","37,999",56.30,"32,776",21.95,11.32,
97,롯데쇼핑,"110,000",0,0.00%,"5,000","31,118","28,289",11.63,"61,193",-2.32,-8.14,
98,씨에스윈드,"172,500","6,000",+3.60%,500,"29,818","17,286",8.85,"359,182",60.15,9.92,
99,한국가스공사,"31,950",200,+0.63%,"5,000","29,494","92,313",8.92,"231,826",-5.88,0.48,
100,현대차우,"120,500","1,500",-1.23%,"5,000","29,350","24,357",55.88,"138,952",28.79,N/A,
101,CJ,"99,300","1,200",-1.19%,"5,000","28,973","29,177",19.74,"68,776",16.50,6.24,
102,BGF리테일,"162,500","1,000",+0.62%,"1,000","28,086","17,284",32.56,"19,957",21.47,26.46,
103,대우조선해양,"25,750",300,+1.18%,"5,000","27,627","107,291",9.27,"117,630",15.85,-1.22,
104,포스코인터내셔널,"22,200",400,-1.77%,"5,000","27,389","123,375",10.56,"8,506,001",12.24,7.06,
105,DB하이텍,"60,900",800,-1.30%,"5,000","27,039","44,399",22.73,"792,134",16.43,17.40,
106,대웅,"46,050",550,+1.21%,500,"26,774","58,142",5.04,"652,033",53.05,10.43,
107,DB손해보험,"37,600",350,+0.94%,500,"26,621","70,800",40.53,"87,048",4.79,6.92,
108,GS리테일,"34,550",300,+0.88%,"1,000","26,604","77,000",14.65,"160,410",15.75,6.25,
109,현대위아,"97,300","3,700",-3.66%,"5,000","26,461","27,195",10.20,"994,659",21.02,1.80,
110,현대오토에버,"125,000","4,500",-3.47%,500,"26,250","21,000",0.97,"79,981",45.67,11.71,
111,휠라홀딩스,"42,750",600,+1.42%,"1,000","25,972","60,752",48.25,"135,120",14.41,23.81,
112,대우건설,"6,210",20,+0.32%,"5,000","25,810","415,623",8.01,"3,976,860",13.41,8.80,
113,한화,"33,950",150,+0.44%,"5,000","25,448","74,959",19.67,"355,201",13.83,2.09,
114,메리츠증권,"3,710",65,+1.78%,"1,000","25,078","675,962",13.45,"1,540,586",4.64,15.06,
115,삼성엔지니어링,"12,550",50,-0.40%,"5,000","24,598","196,000",24.26,"637,984",9.63,24.62,
116,한화생명,"2,830",95,+3.47%,"5,000","24,579","868,530",7.21,"5,998,590",10.76,0.51,
117,팬오션,"4,545",10,+0.22%,"1,000","24,296","534,570",11.34,"1,698,538",17.96,5.49,
118,OCI,"101,500","1,000",-0.98%,"5,000","24,207","23,849",19.81,"223,654",-3.28,-26.20,
119,한솔케미칼,"213,500","9,500",+4.66%,"5,000","24,115","11,295",40.57,"68,239",20.54,20.88,
120,하이트진로,"34,250","1,600",+4.90%,"5,000","24,021","70,134",8.07,"750,674",32.37,-3.86,
121,한샘,"100,000","3,600",+3.73%,"1,000","23,534","23,534",23.00,"93,772",35.11,7.32,
122,신세계,"236,500","1,000",+0.42%,"5,000","23,284","9,845",24.20,"42,421",-7.60,14.24,
123,DL이앤씨,"119,500","3,000",-2.45%,"5,000","23,134","19,359",26.82,"366,030",N/A,N/A,
124,제일기획,"20,000",200,+1.01%,200,"23,008","115,041",32.91,"293,522",16.95,15.09,
125,현대로템,"20,950",100,-0.48%,"5,000","22,865","109,142",4.90,"3,271,603",-11.90,-37.93,
126,LS,"69,900","2,300",+3.40%,"5,000","22,508","32,200",14.43,"231,672",-970.83,0.80,
127,한화에어로스페이스,"43,350",900,-2.03%,"5,000","21,948","50,630",18.29,"841,374",30.40,5.45,
128,KODEX 200선물인버스2X,"2,095",30,-1.41%,0,"21,300","1,016,700",1.40,"803,156,124",N/A,N/A,
129,한화시스템,"19,050",500,-2.56%,"5,000","20,999","110,230",5.53,"2,135,466",26.98,8.15,
130,오뚜기,"568,000","2,000",+0.35%,"5,000","20,857","3,672",16.46,"2,494",19.19,7.79,
131,종근당,"179,000",500,+0.28%,"2,500","20,453","11,426",12.28,"90,891",21.24,11.94,
132,한국앤컴퍼니,"21,800",650,+3.07%,500,"20,278","93,020",8.98,"889,361",18.20,4.71,
133,효성티앤씨,"467,500","18,500",+4.12%,"5,000","20,232","4,328",15.73,"208,809",23.73,20.86,
134,녹십자홀딩스,"42,500",950,-2.19%,500,"19,987","47,028",6.71,"328,751",40.17,0.37,
135,대한유화,"302,000","5,000",-1.63%,"5,000","19,630","6,500",20.89,"59,049",22.11,6.11,
136,두산인프라코어,"9,090",190,+2.13%,"5,000","19,628","215,932",6.56,"8,795,551",11.73,11.59,
137,LS ELECTRIC,"63,500","1,400",+2.25%,"5,000","19,050","30,000",14.58,"102,210",24.47,7.82,
138,현대백화점,"81,400","3,100",+3.96%,"5,000","19,050","23,402",14.65,"299,055",16.68,4.64,
139,HDC현대산업개발,"28,850",700,-2.37%,"5,000","19,014","65,907",10.17,"888,727",7.16,20.30,
140,피비파마,"31,300","2,500",+8.68%,0,"18,810","60,096",8.16,"36,739,146",N/A,N/A,
141,BNK금융지주,"5,740",110,+1.95%,"5,000","18,709","325,935",38.62,"1,217,520",3.89,7.07,
142,현대미포조선,"46,750",550,+1.19%,"5,000","18,673","39,942",13.15,"164,403",40.23,2.31,
143,효성,"88,500",100,+0.11%,"5,000","18,648","21,071",7.64,"307,214",-41.49,4.25,
144,F&F,"120,000","6,500",+5.73%,500,"18,480","15,400",9.81,"106,669",21.21,25.13,
145,KODEX 삼성그룹,"10,435",80,+0.77%,0,"18,376","176,100",0.03,"211,405",N/A,N/A,
146,현대엘리베이,"44,450",700,+1.60%,"5,000","18,142","40,815",26.67,"288,982",19.91,5.22,
147,KCC,"203,500","1,000",+0.49%,"5,000","18,084","8,886",11.85,"30,337",-646.03,-4.37,
148,부광약품,"27,700","6,300",+29.44%,500,"17,960","64,838",4.88,"7,731,230","13,850.00",-2.00,
149,현대해상,"20,000",100,-0.50%,500,"17,880","89,400",36.33,"219,396",4.91,6.23,
150,대웅제약,"153,500","3,000",+1.99%,"2,500","17,785","11,587",4.91,"185,975","-1,073.43",4.34,
151,농심,"288,000",0,0.00%,"5,000","17,518","6,083",17.20,"23,392",12.92,3.72,
152,KODEX 200TR,"13,750",85,+0.62%,0,"17,490","127,200",0.02,"71,381",N/A,N/A,
153,KODEX 단기채권,"102,690",0,0.00%,0,"17,433","16,976",0.00,"13,163",N/A,N/A,
154,메리츠화재,"14,400",150,-1.03%,500,"17,370","120,625",10.15,"686,617",4.22,12.80,
155,KODEX MSCI Korea TR,"13,800",55,+0.40%,0,"17,153","124,300",10.27,"513,858",N/A,N/A,
156,KODEX 레버리지,"27,285",415,+1.54%,0,"16,698","61,200",3.66,"41,168,572",N/A,N/A,
157,아이에스동서,"54,000","1,100",-2.00%,500,"16,682","30,893",5.24,"63,069",13.02,6.10,
158,TIGER MSCI Korea TR,"17,380",125,+0.72%,0,"16,355","94,100",0.00,"149,657",N/A,N/A,
159,영원무역,"36,050",500,+1.41%,500,"15,974","44,311",24.17,"150,245",9.75,9.82,
160,명신산업,"37,750",250,-0.66%,500,"15,394","40,779",1.97,"2,334,709",N/A,53.84,
161,KODEX 종합채권(AA-이상)액티브,"109,790",35,-0.03%,0,"15,020","13,681",0.00,"6,346",N/A,N/A,
162,세방전지,"106,500","4,500",-4.05%,500,"14,910","14,000",25.25,"284,531",20.17,7.70,
163,솔루스첨단소재,"48,700",400,+0.83%,100,"14,897","30,590",7.16,"280,521",140.75,N/A,
164,LG생활건강우,"707,000","7,000",-0.98%,"5,000","14,845","2,100",84.41,"3,306",15.84,N/A,
165,롯데정밀화학,"56,900","1,400",+2.52%,"5,000","14,680","25,800",22.73,"195,870",8.58,11.73,
166,동원시스템즈,"56,700","2,100",+3.85%,"5,000","14,526","25,619",1.47,"314,435",32.22,8.69,
167,코오롱인더,"52,500","1,000",-1.87%,"5,000","14,164","26,979",15.20,"656,628",9.40,1.58,
168,지누스,"97,100","1,500",-1.52%,500,"13,989","14,407",23.17,"45,953",19.60,26.32,
169,NHN,"71,200",300,+0.42%,500,"13,930","19,565",11.50,"50,409",47.44,0.78,
170,DL,"89,700","4,400",+5.16%,"5,000","13,851","15,441",32.99,"656,036",4.75,11.74,
171,SK네트웍스,"5,520",80,+1.47%,"2,500","13,700","248,188",11.94,"3,318,261",-23.90,-5.85,
172,LG전자우,"79,700",900,-1.12%,"5,000","13,697","17,186",38.61,"209,261",17.31,N/A,
173,효성첨단소재,"302,000","8,000",+2.72%,"5,000","13,529","4,480",9.42,"267,296",-20.23,-19.74,
174,한올바이오파마,"25,850",500,+1.97%,500,"13,504","52,241",6.29,"1,724,535",68.57,14.90,
175,에스엘,"27,800",200,-0.71%,500,"13,401","48,203",14.63,"289,784",29.86,7.25,
176,메리츠금융지주,"9,770",0,0.00%,500,"13,093","134,011",8.34,"208,027",2.81,15.26,
177,KBSTAR 200,"42,845",330,+0.78%,0,"13,003","30,350",0.01,"367,116",N/A,N/A,
178,SK디스커버리,"66,500",0,0.00%,"5,000","12,660","19,038",9.91,"117,283",4.37,11.52,
179,신세계인터내셔날,"176,000","1,500",+0.86%,"5,000","12,566","7,140",4.85,"44,451",27.87,12.98,
180,한전KPS,"27,850",350,+1.27%,200,"12,532","45,000",10.89,"116,213",10.34,14.98,
181,영진약품,"6,740",30,+0.45%,500,"12,327","182,893",4.18,"701,161","-1,685.00",4.43,
182,이노션,"60,800",700,-1.14%,500,"12,160","20,000",29.88,"68,486",18.93,9.88,
183,KODEX 인버스,"3,905",30,-0.76%,0,"11,926","305,400",2.79,"84,625,009",N/A,N/A,
184,한국콜마,"51,500",200,+0.39%,500,"11,784","22,881",28.09,"102,453",37.05,6.39,
185,다우기술,"25,950",450,-1.70%,500,"11,643","44,867",22.45,"265,812",4.17,14.62,
186,DGB금융지주,"6,820",230,+3.49%,"5,000","11,536","169,146",47.10,"910,198",3.48,7.31,
187,금호타이어,"3,995",50,+1.27%,"5,000","11,476","287,260",5.35,"428,740",-11.45,-3.30,
188,더블유게임즈,"62,200",400,-0.64%,500,"11,429","18,375",14.05,"87,212",10.67,18.93,
189,롯데칠성,"125,500","2,000",-1.57%,500,"11,264","8,975",10.45,"27,969",-12.87,-11.68,
190,롯데관광개발,"16,150",150,+0.94%,500,"11,188","69,276",4.43,"194,545",-23.72,-4.77,
191,태광산업,"1,002,000","4,000",+0.40%,"5,000","11,156","1,113",7.75,"1,867",10.75,4.34,
192,JB금융지주,"5,650",120,+2.17%,"5,000","11,130","196,983",39.65,"328,363",3.22,10.36,
193,후성,"11,950",50,-0.42%,500,"11,067","92,607",4.69,"872,612",-217.27,3.85,
194,티와이홀딩스,"27,500",800,-2.83%,500,"11,047","40,172",7.04,"301,317",N/A,N/A,
195,아시아나항공,"14,700",50,+0.34%,"5,000","10,939","74,412",20.07,"356,323",-1.27,-90.67,
196,KODEX 코스닥150 레버리지,"15,875",75,+0.47%,0,"10,922","68,800",3.16,"11,536,874",N/A,N/A,
197,LG상사,"27,650",650,-2.30%,"5,000","10,717","38,760",23.92,"328,362",7.53,2.49,
198,KG동부제철,"10,700",250,-2.28%,"5,000","10,701","100,009",0.11,"120,537",12.99,-7.44,
199,보령제약,"20,300",150,+0.74%,500,"10,580","52,120",6.73,"321,355",36.38,11.96,
200,대한전선,"1,235",30,+2.49%,500,"10,577","856,473",1.92,"10,420,561",-68.61,-3.99,
